Date,Level
01-Jan-12,74.5
02-Jan-12,74.3
03-Jan-12,74
04-Jan-12,73.7
05-Jan-12,73.1
06-Jan-12,72.9
07-Jan-12,72.6
08-Jan-12,72.3
09-Jan-12,72
10-Jan-12,71.6
11-Jan-12,71.4
12-Jan-12,71.1
13-Jan-12,70.9
14-Jan-12,70.6
15-Jan-12,70.3
16-Jan-12,70.1
17-Jan-12,69.6
18-Jan-12,69.4
19-Jan-12,69.2
20-Jan-12,68.8
21-Jan-12,68.5
22-Jan-12,68.3
23-Jan-12,68
24-Jan-12,67.8
25-Jan-12,67.4
26-Jan-12,67.1
27-Jan-12,66.8
28-Jan-12,66.5
29-Jan-12,66.2
30-Jan-12,66
31-Jan-12,65.5
01-Feb-12,65.2
02-Feb-12,65.1
03-Feb-12,64.8
04-Feb-12,64.5
05-Feb-12,64.3
06-Feb-12,64
07-Feb-12,63.8
08-Feb-12,63.2
09-Feb-12,62.8
10-Feb-12,62.5
11-Feb-12,62.2
12-Feb-12,62
13-Feb-12,61.9
14-Feb-12,61.7
15-Feb-12,61.4
16-Feb-12,61.2
17-Feb-12,60.9
18-Feb-12,60.6
19-Feb-12,60.4
20-Feb-12,60.2
21-Feb-12,59.8
22-Feb-12,59.6
23-Feb-12,59.2
24-Feb-12,59.1
25-Feb-12,58.9
26-Feb-12,58.7
27-Feb-12,58.6
28-Feb-12,58.4
29-Feb-12,58.1
01-Mar-12,58.1
02-Mar-12,57.7
03-Mar-12,57.4
04-Mar-12,57.2
05-Mar-12,57
06-Mar-12,56.7
07-Mar-12,56.5
08-Mar-12,56.2
09-Mar-12,56
10-Mar-12,55.8
11-Mar-12,55.5
12-Mar-12,55.4
13-Mar-12,55.2
14-Mar-12,54.9
15-Mar-12,54.7
16-Mar-12,54.7
17-Mar-12,54.4
18-Mar-12,54.2
19-Mar-12,54
20-Mar-12,53.8
21-Mar-12,53.6
22-Mar-12,53.4
23-Mar-12,53.2
24-Mar-12,53
25-Mar-12,52.8
26-Mar-12,52.5
